player_id,pos,name,short_name
00-0017200,QB,Kurt Warner,K.Warner
00-0025388,QB,JaMarcus Russell,J.Russell
00-0003739,QB,Daunte Culpepper,D.Culpepper
00-0002110,QB,Mark Brunell,M.Brunell
00-0022005,QB,Chris Simms,C.Simms
00-0019709,QB,Chris Redman,C.Redman
00-0024264,QB,Kellen Clemens,K.Clemens
00-0023502,QB,Charlie Frye,C.Frye
00-0005106,QB,Brett Favre,B.Favre
00-0004161,QB,Jake Delhomme,J.Delhomme
00-0026296,QB,Dennis Dixon,D.Dixon
00-0021231,QB,David Garrard,D.Garrard
00-0027347,QB,Max Hall,M.Hall
00-0024408,QB,Bruce Gradkowski,B.Gradkowski
00-0003315,QB,Todd Collins,T.Collins
00-0025604,QB,Tyler Thigpen,T.Thigpen
00-0025479,QB,Trent Edwards,T.Edwards
00-0001545,QB,Todd Bouman,T.Bouman
00-0009311,QB,Jon Kitna,J.Kitna
00-0025561,QB,Troy Smith,T.Smith
00-0019559,QB,Chad Pennington,C.Pennington
00-0027775,QB,Rusty Smith,R.Smith
00-0024300,QB,Brodie Croyle,B.Croyle
00-0027796,QB,Joe Webb,J.Webb
00-0027071,QB,Stephen McGee,S.McGee
00-0026196,QB,Brian Brohm,B.Brohm
00-0003292,QB,Kerry Collins,K.Collins
00-0011022,QB,Donovan McNabb,D.McNabb
00-0024279,QB,Tarvaris Jackson,T.Jackson
00-0022121,QB,Rex Grossman,R.Grossman
00-0024812,QB,Tyler Palko,T.Palko
00-0027134,QB,Curtis Painter,C.Painter
00-0027876,QB,Tim Tebow,T.Tebow
00-0024218,QB,Vince Young,V.Young
00-0025427,QB,John Beck,J.Beck
00-0022164,QB,Kyle Boller,K.Boller
00-0023578,QB,Dan Orlovsky,D.Orlovsky
00-0024225,QB,Matt Leinart,M.Leinart
00-0025970,QB,Caleb Hanie,C.Hanie
00-0027754,QB,John Skelton,J.Skelton
00-0025423,QB,Kevin Kolb,K.Kolb
00-0025409,QB,Brady Quinn,B.Quinn
00-0022177,QB,Byron Leftwich,B.Leftwich
00-0000865,QB,Charlie Batch,C.Batch
00-0028146,QB,Greg McElroy,G.McElroy
00-0028825,QB,Terrelle Pryor,T.Pryor
00-0023460,QB,Jason Campbell,J.Campbell
00-0030024,QB,Jeff Tuel,J.Tuel
00-0027253,QB,Thaddeus Lewis,T.Lewis
00-0026993,QB,Josh Freeman,J.Freeman
00-0022055,QB,Seneca Wallace,S.Wallace
00-0026349,QB,Matt Flynn,M.Flynn
00-0026197,QB,Chad Henne,C.Henne
00-0027946,QB,Jake Locker,J.Locker
00-0024296,QB,Charlie Whitehurst,C.Whitehurst
00-0027950,QB,Christian Ponder,C.Ponder
00-0023541,QB,Kyle Orton,K.Orton
00-0029531,QB,Ryan Lindley,R.Lindley
00-0030661,QB,Connor Shaw,C.Shaw
00-0031409,QB,Johnny Manziel,J.Manziel
00-0010346,QB,Peyton Manning,P.Manning
00-0021678,QB,Tony Romo,T.Romo
00-0022864,QB,Luke McCown,L.McCown
00-0020245,QB,Michael Vick,M.Vick
00-0007091,QB,Matt Hasselbeck,M.Hasselbeck
00-0031266,QB,Zach Mettenberger,Z.Mettenberger
00-0031288,QB,A.J. McCarron,A.McCarron
00-0022787,QB,Matt Schaub,M.Schaub
00-0028957,QB,Austin Davis,A.Davis
00-0027659,QB,Jimmy Clausen,J.Clausen
00-0029234,QB,Kellen Moore,K.Moore
00-0029677,QB,Brandon Weeden,B.Weeden
00-0028012,QB,Ryan Mallett,R.Mallett
00-0020679,QB,Shaun Hill,S.Hill
00-0029665,QB,Robert Griffin,R.Griffin
00-0027974,QB,Colin Kaepernick,C.Kaepernick
00-0030419,QB,Matt McGloin,M.McGloin
00-0031064,QB,Tom Savage,T.Savage
00-0021429,QB,Carson Palmer,C.Palmer
00-0033899,QB,DeShone Kizer,D.Kizer
00-0030520,QB,Mike Glennon,M.Glennon
00-0028595,QB,Scott Tolzien,S.Tolzien
00-0033119,QB,Jacoby Brissett,J.Brissett
00-0032245,QB,Sean Mannion,S.Mannion
00-0026625,QB,Brian Hoyer,B.Hoyer
00-0032156,QB,Trevor Siemian,T.Siemian
00-0032784,QB,Kevin Hogan,K.Hogan
00-0024226,QB,Jay Cutler,J.Cutler
00-0031589,QB,Brett Hundley,B.Hundley
00-0023662,QB,Matt Cassel,M.Cassel
00-0030526,QB,EJ Manuel,E.Manuel
00-0025708,QB,Matt Moore,M.Moore
00-0025430,QB,Drew Stanton,D.Stanton
00-0030565,QB,Geno Smith,G.Smith
00-0033108,QB,Paxton Lynch,P.Lynch
00-0028090,QB,T.J. Yates,T.Yates
00-0031568,QB,Bryce Petty,B.Petty
00-0030524,QB,Landry Jones,L.Jones
00-0026143,QB,Matt Ryan,M.Ryan
00-0029567,QB,Nick Foles,N.Foles
00-0026158,QB,Joe Flacco,J.Flacco
00-0033958,QB,Nathan Peterman,N.Peterman
00-0034796,QB,Lamar Jackson,L.Jackson
00-0034857,QB,Josh Allen,J.Allen
00-0031407,QB,Blake Bortles,B.Bortles
00-0022803,QB,Eli Manning,E.Manning
00-0020531,QB,Drew Brees,D.Brees
00-0023682,QB,Ryan Fitzpatrick,R.Fitzpatrick
00-0019596,QB,Tom Brady,T.Brady
00-0033537,QB,Deshaun Watson,D.Watson
00-0029604,QB,Kirk Cousins,K.Cousins
00-0031345,QB,Jimmy Garoppolo,J.Garoppolo
00-0032268,QB,Marcus Mariota,M.Mariota
00-0029701,QB,Ryan Tannehill,R.Tannehill
00-0027948,QB,Blaine Gabbert,B.Gabbert
00-0027973,QB,Andy Dalton,A.Dalton
00-0029668,QB,Andrew Luck,A.Luck
00-0022924,QB,Ben Roethlisberger,B.Roethlisberger
00-0028118,QB,Tyrod Taylor,T.Taylor
00-0022942,QB,Philip Rivers,P.Rivers
00-0033873,QB,Patrick Mahomes,P.Mahomes
00-0028986,QB,Case Keenum,C.Keenum
00-0029263,QB,Russell Wilson,R.Wilson
00-0027939,QB,Cam Newton,C.Newton
00-0033077,QB,Dak Prescott,D.Prescott
00-0023436,QB,Alex Smith,A.Smith
00-0027854,QB,Sam Bradford,S.Bradford
00-0023459,QB,Aaron Rodgers,A.Rodgers
00-0033869,QB,Mitchell Trubisky,M.Trubisky
00-0034869,QB,Sam Darnold,S.Darnold
00-0026498,QB,Matthew Stafford,M.Stafford
00-0031280,QB,Derek Carr,D.Carr
00-0033106,QB,Jared Goff,J.Goff
00-0034855,QB,Baker Mayfield,B.Mayfield
00-0032950,QB,Carson Wentz,C.Wentz
00-0034343,QB,Josh Rosen,J.Rosen
00-0029682,QB,Brock Osweiler,B.Osweiler
00-0031503,QB,Jameis Winston,J.Winston
00-0033936,QB,C.J. Beathard,C.Beathard
00-0033104,QB,Cody Kessler,C.Kessler
00-0023645,QB,Derek Anderson,D.Anderson
00-0032436,QB,Jeff Driskel,J.Driskel
00-0031800,QB,Taylor Heinicke,T.Heinicke
00-0033319,QB,Nick Mullens,N.Mullens
00-0031237,QB,Teddy Bridgewater,T.Bridgewater
00-0030533,QB,Matt Barkley,M.Barkley
00-0021206,QB,Josh McCown,J.McCown
00-0027688,QB,Colt McCoy,C.McCoy
00-0026544,QB,Chase Daniel,C.Daniel
00-0026898,QB,Mark Sanchez,M.Sanchez
00-0026300,QB,Josh Johnson,J.Johnson
00-0034577,QB,Kyle Allen,K.Allen
00-0022250,RB,Willie Parker,W.Parker
00-0019693,RB,Jamal Lewis,J.Lewis
00-0022092,RB,Chris Brown,C.Brown
00-0020270,RB,Correll Buckhalter,C.Buckhalter
00-0021976,RB,Larry Johnson,L.Johnson
00-0024294,RB,Jerious Norwood,J.Norwood
00-0017915,RB,Ricky Williams,R.Williams
00-0027048,RB,Glen Coffee,G.Coffee
00-0016098,RB,Fred Taylor,F.Taylor
00-0025631,RB,Jason Snelling,J.Snelling
00-0019484,RB,Sammy Morris,S.Morris
00-0022093,RB,Justin Fargas,J.Fargas
00-0027167,RB,Chris Jennings,C.Jennings
00-0023512,RB,Ryan Moats,R.Moats
00-0021357,RB,Rock Cartwright,R.Cartwright
00-0024460,RB,Quinton Ganther,Q.Ganther
00-0023440,RB,Cadillac Williams,C.Williams
00-0026229,RB,Steve Slaton,S.Slaton
00-0025450,RB,Brandon Jackson,B.Jackson
00-0022999,RB,John Kuhn,J.Kuhn
00-0021179,RB,Clinton Portis,C.Portis
00-0027080,RB,Mike Goodson,M.Goodson
00-0026342,RB,Mike Hart,M.Hart
00-0021216,RB,Brian Westbrook,B.Westbrook
00-0024236,RB,Laurence Maroney,L.Maroney
00-0027712,RB,Joe McKnight,J.McKnight
00-0021184,RB,Ladell Betts,L.Betts
00-0027214,RB,Keiland Williams,K.Williams
00-0024011,RB,Mike Bell,M.Bell
00-0022840,RB,Julius Jones,J.Jones
00-0024359,RB,Jerome Harrison,J.Harrison
00-0023437,RB,Ronnie Brown,R.Brown
00-0027880,RB,Jahvid Best,J.Best
00-0021182,RB,Maurice Morris,M.Morris
00-0021755,RB,Earnest Graham,E.Graham
00-0026579,RB,Kahlil Bell,K.Bell
00-0019641,RB,Thomas Jones,T.Jones
00-0025701,RB,Jackie Battle,J.Battle
00-0024245,RB,Joseph Addai,J.Addai
00-0022770,RB,Derrick Ward,D.Ward
00-0028057,RB,Delone Carter,D.Carter
00-0026941,RB,Bernard Scott,B.Scott
00-0028053,RB,Kendall Hunter,K.Hunter
00-0028043,RB,Roy Helu,R.Helu
00-0026262,RB,Tashard Choice,T.Choice
00-0020536,RB,LaDainian Tomlinson,L.Tomlinson
00-0024332,RB,Leon Washington,L.Washington
00-0021314,RB,Chester Taylor,C.Taylor
00-0026279,RB,Ryan Torain,R.Torain
00-0023544,RB,Marion Barber,M.Barber
00-0005091,RB,Kevin Faulk,K.Faulk
00-0028115,RB,Evan Royster,E.Royster
00-0025487,RB,Michael Bush,M.Bush
00-0022821,RB,Michael Turner,M.Turner
00-0026204,RB,Kevin Smith,K.Smith
00-0026019,RB,Danny Woodhead,D.Woodhead
00-0026316,RB,Jalen Parmele,J.Parmele
00-0027976,RB,Ryan Williams,R.Williams
00-0026956,RB,LaRod Stephens-Howling,L.Stephens-Howling
00-0023439,RB,Cedric Benson,C.Benson
00-0024559,RB,Danny Ware,D.Ware
00-0027786,RB,Jonathan Dwyer,J.Dwyer
00-0026932,RB,Cedric Peerman,C.Peerman
00-0028034,RB,Alex Green,A.Green
00-0027995,RB,Mikel Leshoure,M.Leshoure
00-0028736,RB,William Powell,W.Powell
00-0027666,RB,Montario Hardesty,M.Hardesty
00-0024103,RB,Montell Owens,M.Owens
00-0022984,RB,Ryan Grant,R.Grant
00-0026195,RB,Ray Rice,R.Rice
00-0026988,RB,Knowshon Moreno,K.Moreno
00-0026566,RB,Isaac Redman,I.Redman
00-0025860,RB,BenJarvus Green-Ellis,B.Green-Ellis
00-0028000,RB,Daniel Thomas,D.Thomas
00-0029547,RB,Vick Ballard,V.Ballard
00-0026163,RB,Rashard Mendenhall,R.Mendenhall
00-0029251,RB,David Wilson,D.Wilson
00-0027003,RB,Donald Brown,D.Brown
00-0025439,RB,Brian Leonard,B.Leonard
00-0023545,RB,Brandon Jacobs,B.Jacobs
00-0026162,RB,Felix Jones,F.Jones
00-0030391,RB,Mike James,M.James
00-0027140,RB,Chris Ogbonnaya,C.Ogbonnaya
00-0022178,RB,Willis McGahee,W.McGahee
00-0026367,RB,Peyton Hillis,P.Hillis
00-0027094,RB,Andre Brown,A.Brown
00-0029510,RB,Jonathan Grimes,J.Grimes
00-0024813,RB,Pierre Thomas,P.Thomas
00-0030348,RB,Khiry Robinson,K.Robinson
00-0027890,RB,Ben Tate,B.Tate
00-0028121,RB,Jordan Todman,J.Todman
00-0024275,RB,Maurice Jones-Drew,M.Jones-Drew
00-0029264,RB,Bernard Pierce,B.Pierce
00-0024204,RB,Fred Jackson,F.Jackson
00-0026899,RB,Shonn Greene,S.Greene
00-0030280,RB,Knile Davis,K.Davis
00-0029384,RB,Bobby Rainey,B.Rainey
00-0029675,RB,Trent Richardson,T.Richardson
00-0030522,RB,Montee Ball,M.Ball
00-0025637,RB,Ahmad Bradshaw,A.Bradshaw
00-0031055,RB,Andre Williams,A.Williams
00-0030282,RB,Stepfan Taylor,S.Taylor
00-0029588,RB,Dan Herron,D.Herron
00-0029104,RB,Jonas Gray,J.Gray
00-0029429,RB,Bryce Brown,B.Brown
00-0029239,RB,Brandon Bolden,B.Bolden
00-0026213,RB,Jamaal Charles,J.Charles
00-0029438,RB,Chris Polk,C.Polk
00-0027772,RB,Anthony Dixon,A.Dixon
00-0029731,RB,Fozzy Whittaker,F.Whittaker
00-0027218,RB,Joique Bell,J.Bell
00-0031413,RB,Bishop Sankey,B.Sankey
00-0027651,RB,Dexter McCluster,D.McCluster
00-0029683,RB,Ronnie Hillman,R.Hillman
00-0031577,RB,Javorius Allen,J.Allen
00-0030388,RB,Joseph Randle,J.Randle
00-0024217,RB,Reggie Bush,R.Bush
00-0027861,RB,C.J. Spiller,C.Spiller
00-0030789,RB,Antonio Andrews,A.Andrews
00-0027888,RB,Toby Gerhart,T.Gerhart
00-0031057,RB,Ka'Deem Carey,K.Carey
00-0032133,RB,David Cobb,D.Cobb
00-0032152,RB,Karlos Williams,K.Williams
00-0022736,RB,Steven Jackson,S.Jackson
00-0032972,RB,Devontae Booker,D.Booker
00-0031390,RB,Charles Sims,C.Sims
00-0028198,RB,Matt Asiata,M.Asiata
00-0027864,RB,Ryan Mathews,R.Mathews
00-0029205,RB,Travaris Cadet,T.Cadet
00-0032940,RB,DeAndre Washington,D.Washington
00-0026289,RB,Tim Hightower,T.Hightower
00-0030668,RB,Charcandrick West,C.West
00-0031569,RB,Jeremy Langford,J.Langford
00-0027791,RB,James Starks,J.Starks
00-0030547,RB,Denard Robinson,D.Robinson
00-0026796,RB,Arian Foster,A.Foster
00-0030432,RB,Christine Michael,C.Michael
00-0027155,RB,Rashad Jennings,R.Jennings
00-0027994,RB,Shane Vereen,S.Vereen
00-0032450,RB,Dwayne Washington,D.Washington
00-0031939,RB,Matt Jones,M.Jones
00-0024242,RB,DeAngelo Williams,D.Williams
00-0028202,RB,Shaun Draughn,S.Draughn
00-0031599,RB,Cameron Artis-Payne,C.Artis-Payne
00-0028409,RB,DuJuan Harris,D.Harris
00-0026373,RB,Justin Forsett,J.Forsett
00-0026144,RB,Darren McFadden,D.McFadden
00-0030433,RB,Mike Gillislee,M.Gillislee
00-0026184,RB,Matt Forte,M.Forte
00-0030404,RB,Chris Thompson,C.Thompson
00-0032371,RB,Robert Kelley,R.Kelley
00-0028009,RB,DeMarco Murray,D.Murray
00-0033925,RB,D'Onta Foreman,D.Foreman
00-0032104,RB,Ameer Abdullah,A.Abdullah
00-0030107,RB,Theo Riddick,T.Riddick
00-0030117,RB,Kerwynn Williams,K.Williams
00-0030496,RB,Le'Veon Bell,L.Bell
00-0031301,RB,Jeremy Hill,J.Hill
00-0031375,RB,Terrance West,T.West
00-0031806,RB,Malcolm Brown,M.Brown
00-0029273,RB,Robert Turbin,R.Turbin
00-0026153,RB,Jonathan Stewart,J.Stewart
00-0030485,RB,Eddie Lacy,E.Lacy
00-0032200,RB,Ty Montgomery,T.Montgomery
00-0032417,RB,Paul Perkins,P.Perkins
00-0030860,RB,Orleans Darkwa,O.Darkwa
00-0031376,RB,Jerick McKinnon,J.McKinnon
00-0028083,RB,Jacquizz Rodgers,J.Rodgers
00-0026164,RB,Chris Johnson,C.Johnson
00-0031897,RB,Thomas Rawls,T.Rawls
00-0033526,RB,Samaje Perine,S.Perine
00-0030874,RB,Damien Williams,D.Williams
00-0032602,RB,J.D. McKissic,J.McKissic
00-0030465,RB,Kenjon Barner,K.Barner
00-0030287,RB,Andre Ellington,A.Ellington
00-0028011,RB,Stevan Ridley,S.Ridley
00-0031285,RB,Devonta Freeman,D.Freeman
00-0023564,RB,Darren Sproles,D.Sproles
00-0032058,RB,Tevin Coleman,T.Coleman
00-0031590,RB,Jay Ajayi,J.Ajayi
00-0032426,RB,Alex Collins,A.Collins
00-0027029,RB,LeSean McCoy,L.McCoy
00-0031959,RB,Marcus Murphy,M.Murphy
00-0027531,RB,Chris Ivory,C.Ivory
00-0033856,RB,Leonard Fournette,L.Fournette
00-0031731,RB,Corey Grant,C.Grant
00-0034844,RB,Saquon Barkley,S.Barkley
00-0032209,RB,T.J. Yeldon,T.Yeldon
00-0033950,RB,Wayne Gallman,W.Gallman
00-0033906,RB,Alvin Kamara,A.Kamara
00-0032741,RB,Peyton Barber,P.Barber
00-0030288,RB,Rex Burkhead,R.Burkhead
00-0031062,RB,James White,J.White
00-0029615,RB,Lamar Miller,L.Miller
00-0031075,RB,Alfred Blue,A.Blue
00-0033893,RB,Dalvin Cook,D.Cook
00-0033308,RB,Matt Breida,M.Breida
00-0029141,RB,Alfred Morris,A.Morris
00-0030513,RB,Latavius Murray,L.Murray
00-0032764,RB,Derrick Henry,D.Henry
00-0033118,RB,Kenyan Drake,K.Drake
00-0023500,RB,Frank Gore,F.Gore
00-0028087,RB,Dion Lewis,D.Lewis
00-0033897,RB,Joe Mixon,J.Mixon
00-0034400,RB,Jordan Wilkins,J.Wilkins
00-0030456,RB,Giovani Bernard,G.Bernard
00-0034367,RB,Nyheim Hines,N.Hines
00-0033553,RB,James Conner,J.Conner
00-0032257,RB,Duke Johnson,D.Johnson
00-0034791,RB,Nick Chubb,N.Chubb
00-0032144,RB,Melvin Gordon,M.Gordon
00-0033699,RB,Austin Ekeler,A.Ekeler
00-0033923,RB,Kareem Hunt,K.Hunt
00-0030414,RB,Spencer Ware,S.Ware
00-0034838,RB,Royce Freeman,R.Freeman
00-0034109,RB,Phillip Lindsay,P.Lindsay
00-0033594,RB,Chris Carson,C.Carson
00-0033045,RB,Ezekiel Elliott,E.Elliott
00-0033280,RB,Christian McCaffrey,C.McCaffrey
00-0031900,RB,Rod Smith,R.Smith
00-0025394,RB,Adrian Peterson,A.Peterson
00-0032187,RB,David Johnson,D.Johnson
00-0033948,RB,Jamaal Williams,J.Williams
00-0033556,RB,Tarik Cohen,T.Cohen
00-0032780,RB,Jordan Howard,J.Howard
00-0028064,RB,Bilal Powell,B.Powell
00-0030656,RB,Isaiah Crowell,I.Crowell
00-0027325,RB,LeGarrette Blount,L.Blount
00-0034349,RB,Kerryon Johnson,K.Johnson
00-0025399,RB,Marshawn Lynch,M.Lynch
00-0032241,RB,Todd Gurley,T.Gurley
00-0029613,RB,Doug Martin,D.Martin
00-0033025,RB,Jalen Richard,J.Richard
00-0033951,RB,Marlon Mack,M.Mack
00-0032782,RB,Wendell Smallwood,W.Smallwood
00-0034845,RB,Sony Michel,S.Michel
00-0032063,RB,Mike Davis,M.Davis
00-0033293,RB,Aaron Jones,A.Jones
00-0034457,RB,Josh Adams,J.Adams
00-0027966,RB,Mark Ingram,M.Ingram
00-0034440,RB,Justin Jackson,J.Jackson
00-0034184,RB,Gus Edwards,G.Edwards
00-0031045,RB,Carlos Hyde,C.Hyde
00-0034331,RB,Jaylen Samuels,J.Samuels
00-0033295,RB,Elijah McGuire,E.McGuire
00-0031665,RB,Zach Zenner,Z.Zenner
00-0034115,RB,Jeff Wilson,J.Wilson
00-0029854,RB,C.J. Anderson,C.Anderson
00-0022725,WR,Michael Clayton,M.Clayton
00-0021191,WR,Antonio Bryant,A.Bryant
00-0022766,WR,Patrick Crayton,P.Crayton
00-0007681,WR,Torry Holt,T.Holt
00-0018958,WR,Laveranues Coles,L.Coles
00-0011795,WR,Muhsin Muhammad,M.Muhammad
00-0022171,WR,Kelley Washington,K.Washington
00-0023457,WR,Mark Clayton,M.Clayton
00-0023474,WR,Mark Bradley,M.Bradley
00-0019650,WR,Dennis Northcutt,D.Northcutt
00-0026174,WR,Devin Thomas,D.Thomas
00-0022144,WR,Bobby Wade,B.Wade
00-0023408,WR,Greg Camarillo,G.Camarillo
00-0023968,WR,Micheal Spurlock,M.Spurlock
00-0025622,WR,Chansi Stuckey,C.Stuckey
00-0026953,WR,Sammie Stroughter,S.Stroughter
00-0005231,WR,Brian Finneran,B.Finneran
00-0022156,WR,Bryant Johnson,B.Johnson
00-0021982,WR,Justin Gage,J.Gage
00-0012478,WR,Terrell Owens,T.Owens
00-0027063,WR,Deon Butler,D.Butler
00-0005720,WR,Joey Galloway,J.Galloway
00-0020438,WR,T.J. Houshmandzadeh,T.Houshmandzadeh
00-0020446,WR,Chris Chambers,C.Chambers
00-0027795,WR,David Gettis,D.Gettis
00-0024465,WR,David Anderson,D.Anderson
00-0027477,WR,Blair White,B.White
00-0024305,WR,Maurice Stovall,M.Stovall
00-0017162,WR,Hines Ward,H.Ward
00-0022910,WR,Lee Evans,L.Evans
00-0027789,WR,Dezmon Briscoe,D.Briscoe
00-0022909,WR,Roy Williams,R.Williams
00-0026913,WR,Johnny Knox,J.Knox
00-0022388,WR,Terrance Copper,T.Copper
00-0023490,WR,Roscoe Parrish,R.Parrish
00-0025463,WR,Jason Hill,J.Hill
00-0027012,WR,Brian Robiskie,B.Robiskie
00-0022807,WR,Bernard Berrian,B.Berrian
00-0024463,WR,Ben Obomanu,B.Obomanu
00-0023452,WR,Mike Williams,M.Williams
00-0021163,WR,Jabar Gaffney,J.Gaffney
00-0026465,WR,Anthony Armstrong,A.Armstrong
00-0010500,WR,Derrick Mason,D.Mason
00-0024447,WR,Devin Aromashodu,D.Aromashodu
00-0027105,WR,Jarett Dillard,J.Dillard
00-0025438,WR,Steve Smith,S.Smith
00-0025466,WR,Mike Sims-Walker,M.Sims-Walker
00-0024345,WR,Domenik Hixon,D.Hixon
00-0025529,WR,Steve Breaston,S.Breaston
00-0027026,WR,Mohamed Massaquoi,M.Massaquoi
00-0022929,WR,Devery Henderson,D.Henderson
00-0027982,WR,Titus Young,T.Young
00-0026266,WR,Lavelle Hawkins,L.Hawkins
00-0025462,WR,Laurent Robinson,L.Robinson
00-0022781,WR,Michael Jenkins,M.Jenkins
